diff (init) -> id:000000,time:0,execs:0,orig:hello.txt
New src file: /aflhellobatch/pals_lcr-var-start-time.4.1.ufo.BOUNDED-8.pals.c
  New 'function' coverage: __VERIFIER_nondet_bool()
  New 'function' coverage: __VERIFIER_nondet_char()
  New 'function' coverage: get_inputs()
  New 'function' coverage: main()
  New 'function' coverage: node1()
  New 'function' coverage: node2()
  New 'function' coverage: node3()
  New 'function' coverage: node4()
  New 'line' coverage: 14
  New 'line' coverage: 150
  New 'line' coverage: 152
  New 'line' coverage: 155
  New 'line' coverage: 156
  New 'line' coverage: 157
  New 'line' coverage: 158
  New 'line' coverage: 159
  New 'line' coverage: 16
  New 'line' coverage: 160
  New 'line' coverage: 17
  New 'line' coverage: 174
  New 'line' coverage: 176
  New 'line' coverage: 179
  New 'line' coverage: 182
  New 'line' coverage: 184
  New 'line' coverage: 187
  New 'line' coverage: 189
  New 'line' coverage: 19
  New 'line' coverage: 192
  New 'line' coverage: 193
  New 'line' coverage: 194
  New 'line' coverage: 195
  New 'line' coverage: 196
  New 'line' coverage: 20
  New 'line' coverage: 208
  New 'line' coverage: 210
  New 'line' coverage: 213
  New 'line' coverage: 216
  New 'line' coverage: 218
  New 'line' coverage: 22
  New 'line' coverage: 221
  New 'line' coverage: 223
  New 'line' coverage: 226
  New 'line' coverage: 227
  New 'line' coverage: 228
  New 'line' coverage: 229
  New 'line' coverage: 23
  New 'line' coverage: 230
  New 'line' coverage: 24
  New 'line' coverage: 242
  New 'line' coverage: 244
  New 'line' coverage: 247
  New 'line' coverage: 250
  New 'line' coverage: 252
  New 'line' coverage: 255
  New 'line' coverage: 257
  New 'line' coverage: 260
  New 'line' coverage: 261
  New 'line' coverage: 262
  New 'line' coverage: 263
  New 'line' coverage: 264
  New 'line' coverage: 27
  New 'line' coverage: 276
  New 'line' coverage: 278
  New 'line' coverage: 281
  New 'line' coverage: 284
  New 'line' coverage: 286
  New 'line' coverage: 29
  New 'line' coverage: 30
  New 'line' coverage: 32
  New 'line' coverage: 34
  New 'line' coverage: 35
  New 'line' coverage: 36
  New 'line' coverage: 37
  New 'line' coverage: 38
  New 'line' coverage: 39
  New 'line' coverage: 394
  New 'line' coverage: 396
  New 'line' coverage: 40
  New 'line' coverage: 41
  New 'line' coverage: 411
  New 'line' coverage: 414
  New 'line' coverage: 415
  New 'line' coverage: 416
  New 'line' coverage: 417
  New 'line' coverage: 42
  New 'line' coverage: 420
  New 'line' coverage: 421
  New 'line' coverage: 422
  New 'line' coverage: 423
  New 'line' coverage: 424
  New 'line' coverage: 425
  New 'line' coverage: 426
  New 'line' coverage: 427
  New 'line' coverage: 428
  New 'line' coverage: 429
  New 'line' coverage: 430
  New 'line' coverage: 431
  New 'line' coverage: 432
  New 'line' coverage: 433
  New 'line' coverage: 434
  New 'line' coverage: 435
  New 'line' coverage: 436
  New 'line' coverage: 437
  New 'line' coverage: 438
  New 'line' coverage: 439
  New 'line' coverage: 440
  New 'line' coverage: 441
  New 'line' coverage: 442
  New 'line' coverage: 443
  New 'line' coverage: 444
  New 'line' coverage: 445
  New 'line' coverage: 446
  New 'line' coverage: 447
  New 'line' coverage: 448
  New 'line' coverage: 449
  New 'line' coverage: 450
  New 'line' coverage: 451
  New 'line' coverage: 452
  New 'line' coverage: 453
  New 'line' coverage: 455
  New 'line' coverage: 456
  New 'line' coverage: 457
  New 'line' coverage: 458
  New 'line' coverage: 459
  New 'line' coverage: 460
  New 'line' coverage: 461
  New 'line' coverage: 462
  New 'line' coverage: 463
  New 'line' coverage: 464
  New 'line' coverage: 465
  New 'line' coverage: 466
  New 'line' coverage: 467
  New 'line' coverage: 468
  New 'line' coverage: 469
  New 'line' coverage: 473
  New 'line' coverage: 475
  New 'line' coverage: 480
  New 'line' coverage: 483
  New 'line' coverage: 75
  New 'line' coverage: 76
  New 'line' coverage: 77
  New 'line' coverage: 78
  New 'line' coverage: 79
  New 'line' coverage: 80
  New 'line' coverage: 81
